"Consumption of fuels in electricity generation, TJ by type of power plants, type of fuel and year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type of power plants,type of fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"autoproducer CHP-plants, Non-CHP",surplus steam,166,81,41,121,149,148,307,0,0,0,0,76,0,129,0,0,75,273,0,0,0,0,0,0,0,0,0,0
"autoproducer CHP-plants, Non-CHP",sum of fuels and steam,12638,14421,15736,17299,19064,19564,21247,18605,19259,19939,18536,19009,21727,24608,23786,22550,23852,26855,30310,28347,35557,32002,31272,28916,27644,29298,28638,32342
"autoproducer CHP-plants, Non-CHP",condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"main activity producers CHP-plants, CHP ",no. 1 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",no. 2 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",no. 2 and 3 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",no. 3-5 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",no 5 and heavier Fuel oils,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",hard coal,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ","wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",diesel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",natural gas,4,0,7,23,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",gas from biomass and organic waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",coke oven gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,201,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",blast furnace gas incl. LD-gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2837,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ","black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",liquid petroleum gas (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",other fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",sum of fuels,30,31,20,23,51,32,0,0,0,0,0,0,0,0,50,3099,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",surplus steam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,156,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",sum of fuels and steam,30,31,20,23,51,32,0,0,0,0,0,0,0,0,294,3255,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP-plants, CHP ",condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"main activity producers CHP plants, CHP production",no. 1 Fuel oil,4,144,297,391,1433,2117,2813,1389,2026,1659,546,558,1114,1814,636,220,92,55,101,97,852,374,208,100,..,..,308,155
"main activity producers CHP plants, CHP production",no. 2 Fuel oil,0,0,0,0,0,0,87,15,29,4,14,99,175,86,37,76,67,25,119,287,60,24,20,11,9,28,30,28
"main activity producers CHP plants, CHP production",no. 2 and 3 Fuel oil,6,1,2,87,77,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",no. 3-5 Fuel oil,0,0,0,0,0,0,6595,6384,7411,5045,2497,3531,3605,4511,2201,1386,1873,1206,314,859,1756,732,733,419,204,89,246,138
"main activity producers CHP plants, CHP production",no. 4 Fuel oil,60,75,69,70,71,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",no 5 and heavier Fuel oils,967,2513,3719,4633,5172,4980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",hard coal,4883,7366,7790,8582,9504,8675,10857,8212,8926,9571,7343,8188,8245,7822,4159,3159,3990,3701,2295,2663,3559,2845,2374,3374,1905,1803,1194,1495
"main activity producers CHP plants, CHP production",peat and peat briquettes,328,528,523,832,425,734,689,386,233,132,247,203,408,823,2305,2210,1889,2012,2582,1890,2798,2403,1790,1465,833,634,825,748
"main activity producers CHP plants, CHP production",wood briquettes and pellets,0,0,0,542,24,505,246,114,66,235,937,740,413,794,2616,3158,2479,2120,2456,3749,4296,2440,2097,1830,845,580,730,600
"main activity producers CHP plants, CHP production","wood chips, wood waste, saw dust, et. Al",304,195,199,0,661,1621,2271,3497,4351,4475,3600,5177,4590,6739,9479,8793,9820,10140,10329,12030,14539,13557,13491,14108,12038,13404,15248,14948
"main activity producers CHP plants, CHP production",kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",diesel oil,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,10,2,4,6,6,1,0,0,0,0
"main activity producers CHP plants, CHP production",natural gas,1257,1744,2654,2626,2397,2101,1894,2243,1815,1255,1446,1139,2265,2958,2748,1938,2131,4583,2505,5666,9961,5246,3685,3615,1545,1855,2823,1103
"main activity producers CHP plants, CHP production",gas from biomass and organic waste,0,0,0,0,0,0,222,207,16,25,124,101,136,147,175,144,152,194,96,111,105,104,91,87,54,39,40,43
"main activity producers CHP plants, CHP production",coke oven gas,114,137,121,112,135,136,151,118,101,78,72,83,64,76,106,103,100,284,80,54,107,125,33,25,75,62,73,81
"main activity producers CHP plants, CHP production",blast furnace gas incl. LD-gas,929,935,1000,1041,1005,1030,1358,1859,1342,1311,1157,1262,1325,1299,1298,1160,1143,1311,1095,1102,1416,1087,1288,1132,1060,934,1084,1224
"main activity producers CHP plants, CHP production","black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,10,15,160,75,67,169,121,89,133,224,264,428,91,74,..,..,601,650
"main activity producers CHP plants, CHP production",liquid petroleum gas (LPG),1,46,295,244,340,93,316,54,60,44,9,5,16,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",municipal solid waste,521,444,385,495,451,514,543,474,737,602,720,1077,1215,1692,3981,4785,5535,4842,8191,8109,10601,11698,10622,11347,10822,11601,12686,13789
"main activity producers CHP plants, CHP production",other fuels,42,64,66,102,417,103,118,139,1103,962,1319,268,650,266,1558,1419,2922,1093,1585,2690,4156,3364,2651,1895,2193,1928,2263,3201
"main activity producers CHP plants, CHP production",sum of fuels,9416,14192,17122,19756,22112,22742,28160,25089,28218,25398,20039,22445,24384,29101,31366,28721,32314,31655,31891,39549,54493,44434,39180,39483,31749,33180,38150,38201
"main activity producers CHP plants, CHP production",surplus steam,256,346,387,497,502,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, CHP production",sum of fuels and steam,9672,14537,17508,20253,22614,23302,28160,25089,28218,25398,20039,22445,24384,29101,31366,28721,32314,31655,31891,39549,54493,44434,39180,39483,31749,33180,38150,38201
"main activity producers CHP plants, CHP production",condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"main activity producers CHP plants, heat only production",no. 1 Fuel oil,0,162,202,48,218,57,1532,9,58,64,28,3,1,6,41,25,3,4,6,7,20,284,46,5,13,14,21,..
"main activity producers CHP plants, heat only production",no. 2 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,273,284,174,226,121,104,305,169,190,504,236,262,244,243,109,137,108
"main activity producers CHP plants, heat only production",no. 2 and 3 Fuel oil,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",no. 3-5 Fuel oil,0,0,0,0,0,0,2530,1459,455,423,349,39,720,1406,177,98,61,281,31,469,340,17,11,4,12,2,6,4
"main activity producers CHP plants, heat only production",no. 4 Fuel oil,0,3,39,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",no 5 and heavier Fuel oils,491,937,602,734,3110,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",hard coal,2,68,1,258,2588,749,2684,599,282,272,337,1304,3041,6398,1591,73,541,115,46,7,32,93,28,35,18,32,20,19
"main activity producers CHP plants, heat only production",peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,7,12,0,64,1475,84,311,219,845,479,143,315,25,7,5,0,0,0
"main activity producers CHP plants, heat only production",wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,2,0,0,0,39,0,0,0,0,0,0
"main activity producers CHP plants, heat only production","wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,5,141,121,0,17,45,53,239,483,1148,538,804,360,1089,517,481,1106,943,254,67,11,..,..
"main activity producers CHP plants, heat only production",kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",diesel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0
"main activity producers CHP plants, heat only production",natural gas,0,0,0,287,345,232,22,10,105,441,331,213,86,0,0,0,0,0,0,0,0,3171,728,1020,1011,323,204,0
"main activity producers CHP plants, heat only production",gas from biomass and organic waste,0,0,0,0,0,0,2,0,80,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",coke oven gas,203,280,211,272,203,191,314,161,181,154,113,208,146,240,366,412,282,120,242,74,134,350,95,39,142,103,126,164
"main activity producers CHP plants, heat only production",blast furnace gas incl. LD-gas,1407,1636,1898,1651,1206,1448,2397,1796,2394,2585,1830,3150,3029,4117,4391,4661,3235,2873,3328,1514,1765,2723,2087,1667,2011,1589,1864,2421
"main activity producers CHP plants, heat only production","black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,1,0,39,2,8,34,15,61,26,7,9,6,1,0,0,0,0
"main activity producers CHP plants, heat only production",liquid petroleum gas (LPG),0,0,29,65,112,245,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,170,152,0,173,121,259,290,265,224,113,86,98,320,136,406,258
"main activity producers CHP plants, heat only production",other fuels,0,0,0,0,7,7,20,0,92,0,0,926,16,46,311,0,164,99,180,127,120,237,84,53,303,210,86,91
"main activity producers CHP plants, heat only production",sum of fuels,2103,3085,2982,3356,7790,3574,9643,4167,3653,4012,3086,5256,7731,13126,9729,6196,5692,4652,6287,3677,3771,8693,4402,3427,4146,2529,2880,3081
"main activity producers CHP plants, heat only production",surplus steam,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main activity producers CHP plants, heat only production",sum of fuels and steam,2103,3091,2982,3356,7790,3574,9643,4167,3653,4012,3086,5256,7731,13126,9729,6196,5692,4652,6287,3677,3771,8693,4402,3427,4146,2529,2880,3081
"main activity producers CHP plants, heat only production",condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
condensing power plants,no. 1 Fuel oil,0,0,574,98,96,14,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,no. 2 Fuel oil,0,0,0,0,0,0,588,25,66,0,0,0,0,170,177,95,259,885,202,57,474,38,215,39,35,112,0,0
condensing power plants,no. 2 and 3 Fuel oil,0,0,13,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,no. 3-5 Fuel oil,0,0,0,0,0,0,19374,2113,431,176,410,334,3522,5407,294,1136,2364,0,961,1174,1886,254,325,98,19,35,118,58
condensing power plants,no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,no 5 and heavier Fuel oils,251,105,2181,1403,1763,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,"wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,diesel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,gas from biomass and organic waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,coke oven gas,181,144,114,78,41,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,blast furnace gas incl. LD-gas,490,503,377,297,171,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,"black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,liquid petroleum gas (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,nuclear fuel,728634,822396,677800,655876,782455,746328,808026,742103,785599,768746,597119,771271,722501,716623,818052,755209,683067,661919,673076,539704,598826,602820,647318,661952,650167,559443,639996,643415
condensing power plants,municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,other fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,sum of fuels,729557,823148,681058,657752,784526,747940,835520,744293,786096,768923,597530,771605,726023,722203,818537,756440,685690,662803,674239,540934,601187,603113,647858,662090,650222,559590,640114,643473
condensing power plants,surplus steam,252,364,378,529,416,477,544,544,507,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condensing power plants,sum of fuels and steam,729809,823512,681436,658282,784942,748417,836063,744837,786603,769272,597530,771605,726023,722203,818537,756440,685690,662803,674239,540934,601187,603113,647858,662090,650222,559590,640114,643473
condensing power plants,condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
gas-turbines (for reserve),no. 1 Fuel oil,170,164,222,891,189,123,216,102,117,162,522,334,399,1369,90,371,150,289,236,214,227,132,138,93,98,111,83,90
gas-turbines (for reserve),no. 2 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),no. 2 and 3 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),no. 3-5 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
gas-turbines (for reserve),no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),no 5 and heavier Fuel oils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),"wood chips, wood waste, saw dust, et. Al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),kerosene,13,42,16,21,25,92,15,10,5,6,0,33,19,147,13,18,37,44,21,34,76,13,18,26,14,19,15,28
gas-turbines (for reserve),diesel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),gas from biomass and organic waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),coke oven gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),blast furnace gas incl. LD-gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),"black liquor, spent liquor, tall oil and pitch oil ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),liquid petroleum gas (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),nuclear fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),other fuels,555,698,1062,882,891,720,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,2,10,0,7,5,5,6
gas-turbines (for reserve),sum of fuels,738,903,1300,1794,1106,936,231,112,121,168,522,367,418,1516,103,389,187,334,262,249,309,147,165,119,118,134,116,124
gas-turbines (for reserve),surplus steam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas-turbines (for reserve),sum of fuels and steam,738,903,1300,1794,1106,936,231,112,121,168,522,367,418,1516,103,389,187,334,262,249,309,147,165,119,118,134,116,124
gas-turbines (for reserve),condensing power plants (incl. nuclear power),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
other cycles,no. 1 Fuel oil,12,5,9,4,7,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,23,26,..,..,54,..
other cycles,no. 2 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no. 2 and 3 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no. 3-5 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no. 4 Fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,no 5 and heavier Fuel oils,3,3,4,1,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,peat and peat briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other cycles,wood briquettes and pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
